current_round,start_aggregation,end_aggregation,participant count,actual partipants
6,1743015958.429846,1743016017.012901,3,"['4a90662f-7833-4611-ae4a-7c4d7caa98c6', '6c92f578-6d3b-41ec-a7ba-253053c44b11', '6e2d48fd-09ec-4ba2-90cd-9aa9dc886712']"
7,1743016027.272938,1743016049.328512,3,"['4a90662f-7833-4611-ae4a-7c4d7caa98c6', '6c92f578-6d3b-41ec-a7ba-253053c44b11', '6e2d48fd-09ec-4ba2-90cd-9aa9dc886712']"
8,1743016055.7432818,1743016079.79128,3,"['4a90662f-7833-4611-ae4a-7c4d7caa98c6', '6c92f578-6d3b-41ec-a7ba-253053c44b11', '6e2d48fd-09ec-4ba2-90cd-9aa9dc886712']"
9,1743016083.139405,1743016098.262538,3,"['4a90662f-7833-4611-ae4a-7c4d7caa98c6', '6c92f578-6d3b-41ec-a7ba-253053c44b11', '6e2d48fd-09ec-4ba2-90cd-9aa9dc886712']"
10,1743016102.8914611,1743016114.6464362,3,"['4a90662f-7833-4611-ae4a-7c4d7caa98c6', '6c92f578-6d3b-41ec-a7ba-253053c44b11', '6e2d48fd-09ec-4ba2-90cd-9aa9dc886712']"
10,1743016117.122315,1743016117.123091
1,1743016797.2772071,1743016881.723836,3,"['26c6eef5-5a48-4d52-ab1b-8f3407416d32', '37a5afdb-a360-4cd1-9eac-ba4a3621230b', '4677c9b2-19e1-4615-a2bd-9595a91fc63b']"
2,1743016892.81984,1743016966.570078,3,"['26c6eef5-5a48-4d52-ab1b-8f3407416d32', '37a5afdb-a360-4cd1-9eac-ba4a3621230b', '4677c9b2-19e1-4615-a2bd-9595a91fc63b']"
3,1743016979.184337,1743017020.167178,3,"['26c6eef5-5a48-4d52-ab1b-8f3407416d32', '37a5afdb-a360-4cd1-9eac-ba4a3621230b', '4677c9b2-19e1-4615-a2bd-9595a91fc63b']"
4,1743017028.622329,1743017053.258145,3,"['26c6eef5-5a48-4d52-ab1b-8f3407416d32', '37a5afdb-a360-4cd1-9eac-ba4a3621230b', '4677c9b2-19e1-4615-a2bd-9595a91fc63b']"
5,1743017061.7946749,1743017080.153135,3,"['26c6eef5-5a48-4d52-ab1b-8f3407416d32', '37a5afdb-a360-4cd1-9eac-ba4a3621230b', '4677c9b2-19e1-4615-a2bd-9595a91fc63b']"
6,1743017082.894193,1743017096.499412,3,"['26c6eef5-5a48-4d52-ab1b-8f3407416d32', '37a5afdb-a360-4cd1-9eac-ba4a3621230b', '4677c9b2-19e1-4615-a2bd-9595a91fc63b']"
7,1743017100.863557,1743017113.150235,3,"['26c6eef5-5a48-4d52-ab1b-8f3407416d32', '37a5afdb-a360-4cd1-9eac-ba4a3621230b', '4677c9b2-19e1-4615-a2bd-9595a91fc63b']"
8,1743017115.7530391,1743017128.485486,3,"['26c6eef5-5a48-4d52-ab1b-8f3407416d32', '37a5afdb-a360-4cd1-9eac-ba4a3621230b', '4677c9b2-19e1-4615-a2bd-9595a91fc63b']"
9,1743017133.3993769,1743017145.7191622,3,"['26c6eef5-5a48-4d52-ab1b-8f3407416d32', '37a5afdb-a360-4cd1-9eac-ba4a3621230b', '4677c9b2-19e1-4615-a2bd-9595a91fc63b']"
10,1743017147.6873841,1743017161.513042,3,"['26c6eef5-5a48-4d52-ab1b-8f3407416d32', '37a5afdb-a360-4cd1-9eac-ba4a3621230b', '4677c9b2-19e1-4615-a2bd-9595a91fc63b']"
10,1743017165.33869,1743017165.3395252
1,1743023365.0657668,1743023479.710845,3,"['4208ce0f-845f-4ca1-8d0a-68c64dd300ce', '9164e34c-e15e-4b8b-9766-62f4043f2b94', 'a7397ef3-0791-4c84-9650-10b2d4fbc7eb']"
2,1743023498.7957299,1743023565.323475,3,"['4208ce0f-845f-4ca1-8d0a-68c64dd300ce', '9164e34c-e15e-4b8b-9766-62f4043f2b94', 'a7397ef3-0791-4c84-9650-10b2d4fbc7eb']"
3,1743023581.1617641,1743023633.405097,3,"['4208ce0f-845f-4ca1-8d0a-68c64dd300ce', '9164e34c-e15e-4b8b-9766-62f4043f2b94', 'a7397ef3-0791-4c84-9650-10b2d4fbc7eb']"
4,1743023644.256861,1743023668.328274,3,"['4208ce0f-845f-4ca1-8d0a-68c64dd300ce', '9164e34c-e15e-4b8b-9766-62f4043f2b94', 'a7397ef3-0791-4c84-9650-10b2d4fbc7eb']"
5,1743023672.0969658,1743023690.869239,3,"['4208ce0f-845f-4ca1-8d0a-68c64dd300ce', '9164e34c-e15e-4b8b-9766-62f4043f2b94', 'a7397ef3-0791-4c84-9650-10b2d4fbc7eb']"
6,1743023693.747256,1743023707.0334651,3,"['4208ce0f-845f-4ca1-8d0a-68c64dd300ce', '9164e34c-e15e-4b8b-9766-62f4043f2b94', 'a7397ef3-0791-4c84-9650-10b2d4fbc7eb']"
7,1743023710.528668,1743023722.80924,3,"['4208ce0f-845f-4ca1-8d0a-68c64dd300ce', '9164e34c-e15e-4b8b-9766-62f4043f2b94', 'a7397ef3-0791-4c84-9650-10b2d4fbc7eb']"
8,1743023724.8357382,1743023738.46993,3,"['4208ce0f-845f-4ca1-8d0a-68c64dd300ce', '9164e34c-e15e-4b8b-9766-62f4043f2b94', 'a7397ef3-0791-4c84-9650-10b2d4fbc7eb']"
9,1743023741.429465,1743023755.346269,3,"['4208ce0f-845f-4ca1-8d0a-68c64dd300ce', '9164e34c-e15e-4b8b-9766-62f4043f2b94', 'a7397ef3-0791-4c84-9650-10b2d4fbc7eb']"
10,1743023757.8755789,1743023771.3253472,3,"['4208ce0f-845f-4ca1-8d0a-68c64dd300ce', '9164e34c-e15e-4b8b-9766-62f4043f2b94', 'a7397ef3-0791-4c84-9650-10b2d4fbc7eb']"
10,1743023774.051435,1743023774.0520298
1,1743023931.4010618,1743024032.1167738,3,"['0162be21-ee80-4c19-b9f6-aca9dd25b5d5', '7c5c9cc6-0ba3-40b8-9923-d38774d87dbd', '7df98523-bb5c-495d-aea8-1ba725b41f5b']"
2,1743024046.7674398,1743024111.126702,3,"['0162be21-ee80-4c19-b9f6-aca9dd25b5d5', '7c5c9cc6-0ba3-40b8-9923-d38774d87dbd', '7df98523-bb5c-495d-aea8-1ba725b41f5b']"
3,1743024126.380513,1743024178.3570392,3,"['0162be21-ee80-4c19-b9f6-aca9dd25b5d5', '7c5c9cc6-0ba3-40b8-9923-d38774d87dbd', '7df98523-bb5c-495d-aea8-1ba725b41f5b']"
4,1743024192.4035041,1743024213.60184,3,"['0162be21-ee80-4c19-b9f6-aca9dd25b5d5', '7c5c9cc6-0ba3-40b8-9923-d38774d87dbd', '7df98523-bb5c-495d-aea8-1ba725b41f5b']"
